run_name,seconds,gpu_hours,n_gpus,status
estimate_lambda,516.4,0.1434,1,ok
train_sib_b1e-3,134.8,0.0375,1,ok
eval_vanilla_n1,7950.5,2.2085,1,ok
eval_sib_n25,4084.0,1.1344,1,ok
eval_vanilla_n25,4068.1,1.1300,1,ok
train_sib_b1e-4,114.2,0.0317,1,ok
train_sib_b3e-4,118.1,0.0328,1,ok
train_sib_b1e-2,136.3,0.0379,1,ok
train_raw_vib_b1e-3,133.1,0.0370,1,ok
train_gain_no_rate,96.3,0.0267,1,ok
train_lowpass,0.0,0.0000,1,ok
train_jerk,114.3,0.0318,1,ok
eval_raw_vib_b1e-3,4149.6,1.1527,1,ok
eval_sib_b1e-4,4371.1,1.2142,1,ok
eval_lowpass,4372.7,1.2146,1,ok
eval_sib_b3e-4,4502.9,1.2508,1,ok
train_sib_pe_b1e-3,164.9,0.0458,1,ok
eval_sib_n25,111.3,0.0309,1,error
eval_vanilla_n25,116.2,0.0323,1,error
eval_sib_b1e-2,4233.4,1.1759,1,ok
eval_gain_no_rate,4580.0,1.2722,1,ok
eval_vanilla_n10,4658.0,1.2939,1,ok
eval_jerk,4779.5,1.3276,1,ok
eval_sib_n25,4490.3,1.2473,1,ok
eval_vanilla_n5,5244.1,1.4567,1,ok
eval_sib_n25,114.4,0.0318,1,error
eval_vanilla_n25,118.4,0.0329,1,error
eval_sib_n25,4760.4,1.3223,1,ok
eval_vanilla_n25,5076.1,1.4100,1,ok
eval_vanilla_n25,4556.0,1.2656,1,ok
eval_sib_n25,4784.3,1.3290,1,ok
eval_raw_vib_b1e-3,114.4,0.0318,1,error
eval_sib_pe_n5,5281.1,1.4670,1,ok
eval_sib_pe_n1,6784.9,1.8847,1,ok
eval_vanilla_n25,4373.2,1.2148,1,ok
eval_sib_n25,4629.1,1.2858,1,ok
eval_vanilla_n25,4669.3,1.2970,1,ok
eval_lowpass,121.6,0.0338,1,error
eval_raw_vib_b1e-3,4457.0,1.2381,1,ok
eval_sib_pe_n10,4850.6,1.3474,1,ok
eval_raw_vib_b1e-3,4046.2,1.1240,1,ok
eval_lowpass,4398.1,1.2217,1,ok
eval_lowpass,4296.1,1.1934,1,ok
eval_lowpass,105.3,0.0292,1,error
eval_sib_b1e-4,105.7,0.0294,1,error
eval_vanilla_n25,105.6,0.0293,1,error
eval_lowpass,105.7,0.0294,1,error
eval_sib_b1e-4,108.5,0.0301,1,error
eval_vanilla_n25,112.6,0.0313,1,error
train_sib_adaptive,157.3,0.0437,1,ok
eval_vanilla_n25,109.6,0.0304,1,error
eval_sib_b1e-4,110.0,0.0306,1,error
eval_lowpass,111.0,0.0308,1,error
eval_sib_adaptive,115.0,0.0319,1,error
eval_sib_adaptive,117.9,0.0327,1,error
eval_sib_adaptive,107.3,0.0298,1,error
eval_vanilla_n25,4097.6,1.1382,1,ok
eval_sib_adaptive,4265.4,1.1848,1,ok
eval_lowpass,4311.2,1.1975,1,ok
eval_sib_b1e-4,4331.4,1.2032,1,ok
eval_vanilla_n25,4119.1,1.1442,1,ok
eval_lowpass,4049.1,1.1247,1,ok
eval_sib_adaptive,4080.4,1.1334,1,ok
eval_sib_b1e-4,4146.0,1.1517,1,ok
eval_sib_adaptive,4251.1,1.1808,1,ok
eval_sib_b1e-4,4348.1,1.2078,1,ok
eval_lowpass,4363.9,1.2122,1,ok
eval_vanilla_n25,4455.8,1.2377,1,ok
eval_vanilla_n25,4234.4,1.1762,1,ok
eval_lowpass,4206.9,1.1686,1,ok
eval_sib_b1e-4,4262.8,1.1841,1,ok
eval_sib_adaptive,4431.5,1.2310,1,ok
eval_vanilla_n25,4224.6,1.1735,1,ok
eval_lowpass,4299.9,1.1944,1,ok
eval_sib_b1e-4,4242.3,1.1784,1,ok
eval_sib_adaptive,4278.4,1.1885,1,ok
eval_sib_spatial_ema,4191.9,1.1644,1,ok
eval_vanilla_n4,5131.5,1.4254,1,ok
finetune_lora,1495.7,0.4155,1,ok
eval_sib_lora_n4,4675.5,1.2987,1,ok
eval_paper_eval_seed42,4281.5,1.1893,1,ok
finetune_forge,10394.8,2.8874,1,ok
eval_forge_sib_n1,5867.1,1.6297,1,ok
